ies_name	ies_ret	ies+	ies-
IESPGM.PTET51.1.101.284971	0.5254	31	28
IESPGM.PTET51.1.101.287245	0.7297	27	10
IESPGM.PTET51.1.101.288015	0.4808	25	27
IESPGM.PTET51.1.101.296191	0.2500	15	45
IESPGM.PTET51.1.101.296624	0.3455	19	36
IESPGM.PTET51.1.101.297545	0.4815	39	42
IESPGM.PTET51.1.101.299821	0.3478	16	30
IESPGM.PTET51.1.101.300319	0.1290	4	27
IESPGM.PTET51.1.101.300336	0.3095	13	29
IESPGM.PTET51.1.101.300910	0.4667	14	16
IESPGM.PTET51.1.101.303255	0.4889	22	23
IESPGM.PTET51.1.101.303984	0.4915	29	30
IESPGM.PTET51.1.101.306318	0.5625	9	7
IESPGM.PTET51.1.101.306590	0.3412	29	56
IESPGM.PTET51.1.101.306699	0.4328	29	38
IESPGM.PTET51.1.101.309204	0.3846	20	32
IESPGM.PTET51.1.408.4816	0.7941	27	7
IESPGM.PTET51.1.386.2206	0.6923	36	16
IESPGM.PTET51.1.386.2429	0.3978	37	56
IESPGM.PTET51.1.386.3886	0.5588	19	15
IESPGM.PTET51.1.386.5254	0.3333	24	48
IESPGM.PTET51.1.386.5661	0.4792	23	25
IESPGM.PTET51.1.121.1291	0.9286	52	4
IESPGM.PTET51.1.121.1665	0.5600	14	11
IESPGM.PTET51.1.121.2367	0.6296	17	10
IESPGM.PTET51.1.121.2887	0.5385	14	12
IESPGM.PTET51.1.121.2968	0.5106	24	23
IESPGM.PTET51.1.121.3232	0.4048	17	25
IESPGM.PTET51.1.121.3428	0.4902	25	26
IESPGM.PTET51.1.121.3762	0.3929	11	17
IESPGM.PTET51.1.121.4213	0.5192	27	25
IESPGM.PTET51.1.121.4534	0.5455	24	20
IESPGM.PTET51.1.121.5373	0.6000	39	26
IESPGM.PTET51.1.121.6112	0.3243	12	25
IESPGM.PTET51.1.121.6140	0.2564	10	29
IESPGM.PTET51.1.121.6634	0.3750	6	10
IESPGM.PTET51.1.121.7561	0.7368	28	10
IESPGM.PTET51.1.121.7874	0.6774	21	10
IESPGM.PTET51.1.121.12156	0.5556	10	8
IESPGM.PTET51.1.121.13248	0.5625	9	7
IESPGM.PTET51.1.121.15199	0.4444	12	15
IESPGM.PTET51.1.121.17984	0.4783	33	36
IESPGM.PTET51.1.121.20506	0.4000	24	36
IESPGM.PTET51.1.121.21402	0.5500	33	27
IESPGM.PTET51.1.121.24573	0.4643	13	15
IESPGM.PTET51.1.121.27083	0.3382	23	45
IESPGM.PTET51.1.121.28658	0.1000	1	9
IESPGM.PTET51.1.121.28917	0.2879	19	47
IESPGM.PTET51.1.121.30203	0.3824	13	21
IESPGM.PTET51.1.121.30764	0.3115	19	42
IESPGM.PTET51.1.121.32070	0.0476	2	40
IESPGM.PTET51.1.121.36690	0.2545	14	41
IESPGM.PTET51.1.121.36876	0.1538	6	33
IESPGM.PTET51.1.121.37138	0.3333	23	46
IESPGM.PTET51.1.121.39677	0.2545	14	41
IESPGM.PTET51.1.121.40457	0.0556	1	17
IESPGM.PTET51.1.121.40761	0.4375	7	9
IESPGM.PTET51.1.121.42144	0.6719	43	21
IESPGM.PTET51.1.121.42516	0.2857	4	10
IESPGM.PTET51.1.121.42957	0.2051	8	31
IESPGM.PTET51.1.121.44072	0.2759	8	21
IESPGM.PTET51.1.121.44527	0.6290	39	23
IESPGM.PTET51.1.121.48737	0.4468	21	26
IESPGM.PTET51.1.121.49296	0.5185	28	26
IESPGM.PTET51.1.121.49493	0.1212	4	29
IESPGM.PTET51.1.121.49791	0.4211	16	22
IESPGM.PTET51.1.121.51001	0.0667	4	56
IESPGM.PTET51.1.121.51202	0.2571	9	26
IESPGM.PTET51.1.121.52537	0.3065	19	43
IESPGM.PTET51.1.121.53310	0.2754	19	50
IESPGM.PTET51.1.121.54454	0.2353	12	39
IESPGM.PTET51.1.121.54469	0.1395	6	37
IESPGM.PTET51.1.121.54503	0.3095	13	29
IESPGM.PTET51.1.121.54949	0.6316	12	7
IESPGM.PTET51.1.121.59475	0.5870	27	19
IESPGM.PTET51.1.121.61590	0.3818	21	34
IESPGM.PTET51.1.121.62415	0.1795	7	32
IESPGM.PTET51.1.121.63314	0.3103	9	20
IESPGM.PTET51.1.121.64734	0.1967	12	49
IESPGM.PTET51.1.121.66217	0.2115	11	41
IESPGM.PTET51.1.121.68360	0.5065	39	38
IESPGM.PTET51.1.121.68616	0.3051	18	41
IESPGM.PTET51.1.121.69196	0.4828	14	15
IESPGM.PTET51.1.121.69963	0.3968	25	38
IESPGM.PTET51.1.121.72792	0.5938	19	13
IESPGM.PTET51.1.121.73274	0.6000	18	12
IESPGM.PTET51.1.121.74054	0.2683	11	30
IESPGM.PTET51.1.121.74543	0.3889	35	55
IESPGM.PTET51.1.121.75905	0.5120	64	61
IESPGM.PTET51.1.121.76924	0.4681	22	25
IESPGM.PTET51.1.121.77408	0.2653	13	36
IESPGM.PTET51.1.121.77711	0.4500	18	22
IESPGM.PTET51.1.121.80345	0.0500	2	38
IESPGM.PTET51.1.121.81883	0.5077	33	32
IESPGM.PTET51.1.121.82367	0.4235	36	49
IESPGM.PTET51.1.121.83157	0.4474	17	21
IESPGM.PTET51.1.121.85362	0.3387	21	41
IESPGM.PTET51.1.121.87097	0.5625	36	28
IESPGM.PTET51.1.121.88139	0.2000	10	40
IESPGM.PTET51.1.121.89161	0.3571	30	54
IESPGM.PTET51.1.121.89905	0.3200	24	51
IESPGM.PTET51.1.121.90527	0.3250	13	27
IESPGM.PTET51.1.121.92329	0.2857	12	30
IESPGM.PTET51.1.121.93648	0.4423	23	29
IESPGM.PTET51.1.121.93716	0.5000	37	37
IESPGM.PTET51.1.121.95751	0.6207	18	11
IESPGM.PTET51.1.121.96716	0.3636	12	21
IESPGM.PTET51.1.121.97601	0.7308	38	14
IESPGM.PTET51.1.121.98075	0.6429	18	10
IESPGM.PTET51.1.121.100298	0.3611	13	23
IESPGM.PTET51.1.121.100615	0.2979	14	33
IESPGM.PTET51.1.121.103702	0.4898	24	25
IESPGM.PTET51.1.121.108929	0.5517	16	13
IESPGM.PTET51.1.121.109139	0.3253	27	56
IESPGM.PTET51.1.121.109410	0.3277	39	80
IESPGM.PTET51.1.121.110187	0.4634	38	44
IESPGM.PTET51.1.121.110683	0.6000	12	8
IESPGM.PTET51.1.121.111727	0.2069	6	23
IESPGM.PTET51.1.121.111760	0.4500	9	11
IESPGM.PTET51.1.121.112322	0.3043	21	48
IESPGM.PTET51.1.121.112711	0.3000	6	14
IESPGM.PTET51.1.121.112817	0.1852	5	22
IESPGM.PTET51.1.121.113275	0.3529	12	22
IESPGM.PTET51.1.121.114348	0.3514	26	48
IESPGM.PTET51.1.121.114945	0.2683	11	30
IESPGM.PTET51.1.121.117343	0.2927	24	58
IESPGM.PTET51.1.121.118133	0.3636	24	42
IESPGM.PTET51.1.121.119195	0.3200	8	17
IESPGM.PTET51.1.121.120780	0.2778	15	39
IESPGM.PTET51.1.121.122071	0.0800	4	46
IESPGM.PTET51.1.121.123869	0.1818	6	27
IESPGM.PTET51.1.121.127101	0.5000	13	13
IESPGM.PTET51.1.121.130299	0.2069	12	46
IESPGM.PTET51.1.121.131258	0.6842	26	12
IESPGM.PTET51.1.121.132085	0.5857	41	29
IESPGM.PTET51.1.121.133350	0.5362	37	32
IESPGM.PTET51.1.121.134009	0.3056	11	25
IESPGM.PTET51.1.121.135847	0.1296	7	47
IESPGM.PTET51.1.121.136801	0.6047	26	17
IESPGM.PTET51.1.121.137730	0.7500	30	10
IESPGM.PTET51.1.121.138356	0.3731	25	42
IESPGM.PTET51.1.121.139420	0.4318	19	25
IESPGM.PTET51.1.121.139603	0.4444	8	10
IESPGM.PTET51.1.121.140742	0.2000	9	36
IESPGM.PTET51.1.121.143092	0.1757	13	61
IESPGM.PTET51.1.121.144934	0.3415	28	54
IESPGM.PTET51.1.121.145813	0.4898	24	25
IESPGM.PTET51.1.121.150371	0.2353	8	26
IESPGM.PTET51.1.121.151882	0.3833	23	37
IESPGM.PTET51.1.121.152172	0.3821	47	76
IESPGM.PTET51.1.121.157265	0.2576	17	49
IESPGM.PTET51.1.121.161276	0.4186	18	25
IESPGM.PTET51.1.121.161685	0.1034	3	26
IESPGM.PTET51.1.121.162624	0.1897	11	47
IESPGM.PTET51.1.121.162752	0.2059	14	54
IESPGM.PTET51.1.121.164379	0.4028	29	43
IESPGM.PTET51.1.121.165376	0.2537	17	50
IESPGM.PTET51.1.121.166521	0.4932	36	37
IESPGM.PTET51.1.121.168760	0.2222	18	63
IESPGM.PTET51.1.121.171496	0.3125	20	44
IESPGM.PTET51.1.121.178096	0.4783	11	12
IESPGM.PTET51.1.121.178283	0.2759	8	21
IESPGM.PTET51.1.121.178974	0.4318	19	25
IESPGM.PTET51.1.121.182293	0.6452	20	11
IESPGM.PTET51.1.121.183508	0.3125	15	33
IESPGM.PTET51.1.121.188454	0.3559	21	38
IESPGM.PTET51.1.121.189229	0.6087	14	9
IESPGM.PTET51.1.121.190745	0.1538	6	33
IESPGM.PTET51.1.121.193344	0.2319	16	53
IESPGM.PTET51.1.121.197956	0.6190	26	16
IESPGM.PTET51.1.121.198389	0.2821	11	28
IESPGM.PTET51.1.121.199425	0.2650	31	86
IESPGM.PTET51.1.121.200598	0.1250	2	14
IESPGM.PTET51.1.121.201931	0.5149	52	49
IESPGM.PTET51.1.121.203275	0.6000	12	8
IESPGM.PTET51.1.121.205193	0.4528	24	29
IESPGM.PTET51.1.121.207682	0.2556	23	67
IESPGM.PTET51.1.121.208962	0.4500	18	22
IESPGM.PTET51.1.121.209065	0.3158	12	26
IESPGM.PTET51.1.121.209198	0.2417	29	91
IESPGM.PTET51.1.121.212227	0.1045	7	60
IESPGM.PTET51.1.121.213777	0.1556	7	38
IESPGM.PTET51.1.121.215982	0.2564	20	58
IESPGM.PTET51.1.121.216263	0.2258	7	24
IESPGM.PTET51.1.121.216916	0.5256	41	37
IESPGM.PTET51.1.121.218656	0.6842	13	6
IESPGM.PTET51.1.121.220295	0.6833	41	19
IESPGM.PTET51.1.121.220674	0.4783	22	24
IESPGM.PTET51.1.121.223612	0.6667	8	4
IESPGM.PTET51.1.121.224614	0.4242	42	57
IESPGM.PTET51.1.121.226998	0.0588	2	32
IESPGM.PTET51.1.121.229284	0.3415	28	54
IESPGM.PTET51.1.121.232444	0.6316	12	7
IESPGM.PTET51.1.121.234975	0.5593	33	26
IESPGM.PTET51.1.121.245139	0.2667	20	55
IESPGM.PTET51.1.121.245272	0.1385	9	56
IESPGM.PTET51.1.121.250822	0.2121	7	26
IESPGM.PTET51.1.121.255557	0.5542	46	37
IESPGM.PTET51.1.121.259594	0.2500	6	18
IESPGM.PTET51.1.121.261363	0.6667	50	25
IESPGM.PTET51.1.121.262154	0.3279	20	41
IESPGM.PTET51.1.121.273639	0.5556	15	12
IESPGM.PTET51.1.512.1768	0.6923	9	4
IESPGM.PTET51.1.564.1002	0.3654	19	33
IESPGM.PTET51.1.686.1536	0.5714	16	12
IESPGM.PTET51.1.686.1832	0.8537	35	6
IESPGM.PTET51.1.686.1850	0.7143	30	12
IESPGM.PTET51.1.534.605	0.9310	27	2
IESPGM.PTET51.1.534.803	0.8364	46	9
IESPGM.PTET51.1.534.1121	1.0000	42	0
IESPGM.PTET51.1.534.1734	0.9464	53	3
IESPGM.PTET51.1.534.2129	0.8361	51	10
IESPGM.PTET51.1.534.2442	1.0000	53	0
IESPGM.PTET51.1.204.2214	0.3860	22	35
IESPGM.PTET51.1.204.2302	0.6522	30	16
IESPGM.PTET51.1.440.3586	0.2000	8	32
IESPGM.PTET51.1.149.1113	0.8857	31	4
IESPGM.PTET51.1.149.1243	0.6087	14	9
IESPGM.PTET51.1.149.1374	0.0625	1	15
IESPGM.PTET51.1.149.2052	0.4444	16	20
IESPGM.PTET51.1.149.4772	0.7000	14	6
IESPGM.PTET51.1.149.6216	0.1143	4	31
IESPGM.PTET51.1.149.6869	0.2558	22	64
IESPGM.PTET51.1.149.7561	0.6250	15	9
IESPGM.PTET51.1.149.9103	0.4222	19	26
IESPGM.PTET51.1.149.12467	0.5476	23	19
IESPGM.PTET51.1.149.19839	0.2000	13	52
IESPGM.PTET51.1.149.24281	0.6038	32	21
IESPGM.PTET51.1.149.27328	0.3200	8	17
IESPGM.PTET51.1.149.27549	0.3182	7	15
IESPGM.PTET51.1.149.30583	0.5882	30	21
IESPGM.PTET51.1.149.33689	0.5600	28	22
IESPGM.PTET51.1.149.33880	0.2027	15	59
IESPGM.PTET51.1.149.36228	0.4118	14	20
IESPGM.PTET51.1.149.46164	0.3750	15	25
IESPGM.PTET51.1.149.47011	0.2794	19	49
IESPGM.PTET51.1.149.50099	0.4894	23	24
IESPGM.PTET51.1.149.51370	0.3279	20	41
IESPGM.PTET51.1.149.55090	0.4286	18	24
IESPGM.PTET51.1.149.61475	0.1818	6	27
IESPGM.PTET51.1.149.61926	0.4783	11	12
IESPGM.PTET51.1.149.65928	0.5455	12	10
IESPGM.PTET51.1.149.68017	0.4808	25	27
IESPGM.PTET51.1.149.68035	0.4400	22	28
IESPGM.PTET51.1.149.69801	0.2500	5	15
IESPGM.PTET51.1.149.70746	0.2308	9	30
IESPGM.PTET51.1.149.70908	0.1791	12	55
IESPGM.PTET51.1.149.79309	0.6667	16	8
IESPGM.PTET51.1.149.80680	0.5690	33	25
IESPGM.PTET51.1.149.83477	0.2917	21	51
IESPGM.PTET51.1.149.84006	0.6364	7	4
IESPGM.PTET51.1.149.88572	0.0816	4	45
IESPGM.PTET51.1.149.88629	0.0000	0	39
